line,type,weekday,id_crime_category,afluency_distribution,crime_frequency
B,Intermedia,2,6,9996.142857142857,2.0
B,Terminal,2,5,39196.0,1.0
B,Terminal,2,6,39196.0,1.0
B,Transbordo,2,6,6400.4,4.0
B,Transbordo,2,13,6400.4,1.0
1,Intermedia,3,6,35042.416666666664,7.0
1,Intermedia,3,7,35042.416666666664,1.0
1,Intermedia,3,13,35042.416666666664,2.0
1,Terminal,3,6,74896.0,1.0
1,Transbordo,3,6,29648.0,6.0
1,Transbordo,3,13,29648.0,2.0
12,Intermedia,3,5,21036.466666666667,2.0
12,Intermedia,3,6,21036.466666666667,4.0
12,Intermedia,3,13,21036.466666666667,2.0
12,Terminal / Transbordo,3,5,21089.0,1.0
12,Transbordo,3,6,15091.0,1.0
